cid,Course_Title,Course_by,Subject,Link,Image_link
101,HTML CSS and Javascript for Web Developers,John Hopkins University,HTML CSS Javascript,https://www.coursera.org/learn/html-css-javascript-for-web-developers,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/83/e258e0532611e5a5072321239ff4d4/jhep-coursera-course4.png
102,Web Design for Everybody: Basics of Web Development & Coding Specialization,University of Michigan,HTML CSS Javascript,https://www.coursera.org/specializations/web-design,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRX2ITYhZ7RcRsCMdcEtNHxgKL3-t8hoBGI-8Uf2CKSlg&s
103,Introduction to HTML CSS & JavaScript,IBM,HTML CSS Javascript,https://www.coursera.org/learn/introduction-html-css-javascript,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/fd5d5761ec30.jpg
104,Programming Foundations with JavaScript HTML and CSS,Duke University,HTML CSS Javascript,https://www.coursera.org/learn/duke-programming-web,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFEPZ-c6Fk_O-bYPYwNwfdOlGUU0uNdj4TBi7XuOq9Gw&s
105,Responsive Website Basics: Code with HTML CSS and JavaScript,University of London,HTML CSS Javascript,https://www.coursera.org/learn/website-coding,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/5d/056e103cf111e5a191b717b8272db1/MOOC-1-V-5.png
106,HTML CSS & JavaScript - Certification Course for Beginners,YouAccel Training,HTML CSS Javascript,https://www.udemy.com/course/html-css-javascript-certification-course-for-beginners/?couponCode=ST6MT42324,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxAQEBAQEBAPDxAPEA8PDw8PFQ8PDw8PFREWFxUVFRUYHSggGBolGxUWITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OGhAQGy8eHyAtLS0tLS0tLS0tLS0tLS0vLS0tLS0vLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLf/AABEIAKgBKwMBEQACEQEDEQH/xAAbAAACAgMBAAAAAAAAAAAAAAAAAgMFAQQHBv/EAEgQAAEDAgIGBQcJBgUEAwAAAAEAAgMEERIhBQYTMUFRImFxgZEHIzJCUqGxFBZTYnKSwdHSM5OiwuHwVGOjsvEVFySCQ0SD/8QAGwEBAAIDAQEAAAAAAAAAAAAAAAEDAgQFBgf/xAA4EQACAQMBBAYJAwQDAQAAAAAAAQIDBBEFEiExQRNRYXGBoRQVIjJSkbHR4QbB8CMzQlM0kvEk/9oADAMBAAIRAxEAPwDiUjOK2K0Me0SJhWuQGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAGFAZbcEEZEZjtUxk4tNcUC/pZ8bQ7jucORXu7G6VzRU+fPvLE8kq2miRSsWgKQsGgKVg0DBVbRApWDQEKraBgqtoCkKtogUqtoCFVtAxZV4IIcK1thSWGCLBwXMnBwk4sxGwLABgQBgQBgQBgQBgQBgQBgQBgQBgQBgQBgQBgQBgQBgQBgQBgQBhQBgQBgQBgQBgQAWICehmwOz9F2R6uRXS0u89Gre17stz+5MXguCF7jBaYIWDQFIWDRApCwaApWDQFKraIFIVbQFKwaApVTQFIVbRApCraAtlhggjaFRFAzIzjy+Cou6G1HbXFfQNGGtXKMR8CAMCANmgDZoA2aANmgDZoA2aANmgDZoA2aAxgQBhQClqAlpaSSU2ijklPKJj5D/CCgLKLVPSLvR0fXH/8Jx8WoBJtWK9np0Fa23E089vHDZAVkkZacLgWO9l4LXeBzQBhQGcKAMCAzs0Aro0BYUE124Tvb72r2Oi3vTUuil70fNfgsizYIXZaMjBWDQFIWDRApCwaApVbQFKraIFIVbQEKraBgqtoCEKtogxZYYAjQqYogkaFfFEmA2xXCu7d0amOT4GLJmsWqQNs0AbNAGzQBs0AbNAGzQBs0AbNAY2aAwWIAjhc5zWMa573GzWMBc9x5NaMyexAdA1b8kdVPZ9Y8UcZz2QtJUkdfqs77nqCA6RobyeaLpbFtKyZ4t5yq8+6442d0W9wCA9RG0NGFoDWjcGgNA7ggGugC6AgraOKZpZNFFM05FsrGyNI7HAoDxmm/JVoyouYmPo5DudTnzd+uJ122+zZAcx1n8nFfQhzw0VUAzM1OHFzRzki9JvaMQ60B5JougHDEAGNAIAWkOHD3jkr7a4lb1VUjy811Epli1wIBG4r6DSqxqwVSPBlhghZNEmCq2gKVg0QIQsGgKVW0BSq2iBSFW0BSq2gKQqmiBVgBQFXFAkaFfFAbDdYXVt01NrmuAayTQheYaxuMDYEagGdkgDZoDGyQGdkgDZIA2SAwY0AjmICy1c1bqNITbKBosLGWZ99lC08XHieTRmey5AHc9U9T6TRzfNNxzEWkqZADK7mB7Dfqjvuc0BuVGslJG9zHykOYS1wwSGxG/MBa8rqlF4b4G9DTricVKMdz7UR/Oqi+mP3Jf0qPTKPWZeqrr4fNGPnVRfTH7kv6U9Lo9Y9VXXw+aM/Oqi+lP3Jf0qPTKPWPVV18Pmg+dVF9KfuS/pU+mUeseqrr4fNB86qL6U/cl/SnplHrHqq6+HzQfOqi+lP3Jf0p6ZR6x6ruvh80WFBXxztxxOxNuRezm5jfkVdTqRmtqPA1K1GdGWxNYZ4vXbybwVmKelDKaqN3EAYYJ3b+mB6Lj7Q7weGZUcZrKGSCR8MzHRSxnC9jxYg/iORGRQCBiAw+JALTnCcJ3HMdq9FoV7sy9Hk9z3rv6vEzi+RsEL1TMxSsGgKVWwKQsGiBCsGBSq2QKVU0BSq2gKVW0QLZV4BgBYRQHC2IokkaFfFAkjyK4OrWmxLpY8Hx7/yYyRvxNuuOYkuyQBskAbJAGyQBskAGNAI5iA3tXdAS19Q2CLIelLIRdsUfFx5ngBxPeQB3rQeiIaOFsEDcLG5knN8juL3ni4/3kgN+6A5lrKy1XUD69/FoP4rhXKxVkez055tod37lYqDcBAPE25AKiTwgzY+Tt6/FV7bMcsPk7etNtjLI54g0XF99s1lGTZKZ7rUttqZp5lx/iK71msUkeS1WWbqXh9C/utk5x5jXnVGPSMVxhZVRg7GXdfjs3niw+458wQOGTUz43ujka5kkbix7HZFrhvCAYRoCCeBSm4tNbmgYabjr4r32n3iuqKnz4PvLU8gVtskUrBgUrBkCkKtgQrBoGCqmiBCq2gKVW0DCrIFaFjFAkCviiR2hbEUCQBZVKMasHCXBg3qRy8TXoyo1HTlxRWyxYxVAbZIA2SANkgDZIBXRoCB0RJDWguc4hrWjMucTYAdd0B27UzV9tBTNjyM0ln1Dxxfb0QfZbuHeeKAvroAugOe64stVvPtNjd/CB+C4t6sVWet0mWbVdjZt6laMgqDOJo8ZZsi3pPbYHHf0SOQWdnShUypLOCrVbmtQ2HTeM5/Y9R81KH6D+Ob9S3vQ6PwnG9aXXx+SJafVShxDzHP15uX2lDs6Pwj1pdfH5I3PmnQ/Q/xy/qUeg0PhHrO5+LyX2I6jVeiax7tj6LXO9OXgL+0sZWVBJvZMoajcykltcexfY5ZUnJv98FxIHrUe/1Wbali62g+Oa9DbLFKPceMv3m5m+0trq81AugOe+VPVsSM+XRN85EA2oA9eLcH9rePV9lAc0jagJHQ3CA0JocJv4rp6Ve+jVt/uy3P7+BMXgjXuS0UrBgUqtgUrBkCFVsClVtAUqtkClVsCqvAMBYxRBI1bESSQK+KJHarooE8DrFcnWLPpKfTR4x49q/BjJF3Sm4XlDA3BEgDZIA2SADEgIZGID0nk40QJaozuF2UwBbfcZnXw+Aue3CgOn1NUyJhfI9rGNtie4gNFzYXPaQs4QlOWzFZZDaSyzQ+clF/i6f94z81segXP+t/Iw6an1h85KL/ABdP+8Z+aegXP+t/IdNT60eP1u0jTyTtfHNFINm0Esc1wBDnZe9cy80u8lNONKT3dR6HSdQtqdFxnUS382bOo2mKeGWbazRRtfGLF7g0FweLDPjYlTZabeQk9qlJbuow1e9tqtOOxUTw+s3tcNZY7wGlrW7pRIIZPsYcVj9pW3dhfbujhLwRraXXsvaVdx5YyUEOs0+IXrJbZ75Hcu1aMrDU8e5P5HVdfS/ih5G2zWWZxAFZISdwEhJ+Koq2uo0oOdSM1Fc3wMqc9OqSUIbDb5IkfpmpcCDUTEEEEF7iCDvC0HcVXu2mbis6CeVBfIqavh3rGBtROjaGbhgiHJjfgF6WmsQS7Dw1eW1Vk+ts3brMqC6AWRocC1wDmuBa5pzBaRYg9yA4bpvRRpKqWDOzHXjJ9aJ2bD4G3aCgImR3QEVTTXCAp5Y8JXsdFvempdFL3o+a/BZFkZXZZkKVgwKVWyBCsGBSq2BSqmQIVWwYWGAYCxiCRq2IgcK+JJI1XIEgVqSe5gtNGzcF4jU7P0as0vde9fbwK2sF9C24XOIJtkgDZIBXxIDUnYgOnajUQhoo8ulNed3Xi9H+ENQGzrazFQ1Q5RF33SHfgtzT5YuYd5VXWabOPr2xygQAgJo4bi91GTBywxvk45lMkbbD5OOZQnbZcajsZ8vhxluBu0Jx2w+gQL3y4rla1UhCzk5tJPC395uWe06qceJ1TWN1MaWYRCB0haA0Rhhfm4A2tnuuvAXNe3dKSi458D0VlKoq8XNvGebOb1FHKSLRv3eyea5MKkOs9N6RSSftI6BSzMaxoxNFgMrhegV5b/GvmeMdObfAm+Us9tviE9Mt/jXzI6OfUZZM125wPYQVZTr06jxCSfcQ4tcUPdWmJ4Dyn0IvT1AG/FA88/WZ/OgPIwMQGw6C4QFTpCjV9tcSoVVUjy/mAngpHi2XJe/pVY1aanHgy4QrJgwVWyBCsGBCq2gYKrZAhVTAqwABREEjVfEDhXxJJGq5AcK5Ek0EmEg+K1NRsldUHFe8t67/AMkNZPU6OluAvAtNPD5FRasYoA2yQCSRIDQqIichvOQ7SgOuwRhjWsG5jWsHYBYfBAQaXZjp52+1DKPFhV1vLZqxfajGazFo4twXvDjnVdG6i6PlhhlLZryRRSG0rrXcwE/FeVq6tdQqSjlbm1wOhG2ptJmz/wBvtH+xN+9esPXN11r5Iy9Fp/xm3T+TzR+EdGbj/wDI7mo9cXXWvkjF2dJ/+kn/AG70f7M37xyj1xdda+SI9CpfxnitftB09FLAyAPGON7343F/rANtfd6y7Ol3VW4jKVTl2YNO6pRptKPMotVG3qb8mOPi4Lk/rGezYKPXJeSZu6Yv62ew92vlh6A3IKMOaHYiL34dawcsPBOMj/8ATx7R8Ao2ycAaAAE4jl1BNsYIdHnpjsXodEj7U33GndPgWt16A0yg15hx0UnON0cg7ngH3OKA57TMQG8yJAQ1VLcIDy2lqTCcQ716HQ73Yl0EuD4d/wCTOLKsr07MzBWDIEcsGBSq2BSqmBSq2QKsAAURA7VfEEgV8SSQK6IGCtRI4VqBbaGqbHCe7sXktfsejn08Fulx7/yYTXM9fSG4XnTA3BEgIpYkBqRReeiHOWP/AHhAdNJQGHi4I5gjxCmLw0yHwOI4bZcsvBfQE8pM45bQaz10bGxsqpWsY0MY0YLNaBYAXHJasrC3k3JwTbM1Wmt2R/ndpD/GS/wfko9W2v8ArRPT1PiNqDWzSGEf+ZNx9jn2KPV1t/rXmVSuKmfePf8Aky0lUVDal08z5g10TWY7dE2cXWsOtq4Wr0KVGUFTjjKeTds5ymm5PJ5zyqy3rWj2KaPxL5D+S6OiRxQb65fsjXvXmol2FDqWy8rzya0eJP5Lg/raeKFKPW2/I6Glr2pPsOl6O0dHJFjdivdwyNhkvJWVhRrUOklnO/n1HSq1pRnhG1q/Stkj6V8gLWy3krV02ypXLn0nLHAzr1ZQxgtf+lx/W8V1fUlt2/M1/SpmjpilZHGS29zcZm+WErnalp9G2hGUM5b5vsLqNaU20yg0f6Z7FvaKv6c32ld1xRY3XaNUrtYhekqR/kvPgLoDnlJGgLKKJAO+BAU+k6G4OSlNxeVxQPFVcBjcWnu7F7qwu1c0VPnwff8AktTyQFbTJFcsGQIVWwKVWwKVWyBVgACxiB2rYiCRqviSSBWxA4V0SRgrECSN5BBG8G6ivQjXpunPgwey0HVhwB5r5xdW8rerKlPiv5nxKmsHpYW3CoIMSxICve3C9jvZex3g4FAdBJQAHIDjekWYZpm+zLKPB5XvaEtqlF9i+hx5+8zqGoMNO/R8Jkjpy8Oma4vbEXG0z7XJF91l5jVHVjcy2W8buvqRv2+y6ayeh+RUn0VL9yH8lodJW635l+I9htwUVHhF4qXj6kPPsTbrdb8yMQ7DdpIYmA7JsbQTnsw1oJ68KqnKTftZ8SUlyOP+UmXFpCo+oyJn+kHfzL1mkxxax7W35nKunmszX1JZ+1PW0eAP5ryH63n7dKHY35nX0pbpM6doX9h3vXL0v/if9jYr/wBz5E2q37M9jfi5aeh8anh+5ZdcvESqmeHvAc4DE6wuea5l5cVo3E0pPGXzL6UI7C3GlXSuMbruce0k7ytR1alRpTk33ss2UuCNCg3u7AvVaOsW+ets0Ll+2b111TXK7WJ9qWfrZh+8QPxQHiqOJAWsMSAm2SA1qmluEB5DWLRZIJA6Tcx19S6OmXno1bf7r3P7+BlF4PJFe0ZYKVgyBCsGBSq2QKVUwKsAAWMQOCrosDgq+MkSSNKtiwOCroskcK1MDK1AstC1mzeAT0XHwcuDr1h01LpoL2o8e1fgxktx0LRsuIBeKKyxfHcICrrYcigPXUU2OON/tMaT22z96AmugOU6yMw1dQP81x+90vxXtrCW1bQfYcqtumy/1O1Npq+B00r5mvbK6IiPZYbBrXD0mk+stLUNSq21RQik1jPP7llG3jUjlnn9ZtDx0lXNTsu5kezwueG4iHRNdnYAb3HhwW/Z3Mq9CNR8Xn6lNSmoScTWp424RkOPAc1stmvJbzsvkxiDdHsNrY5ZneDy3+VeR1iWbp9iX0OrZr+kvE5trvLirqw/5xb90NZ/KvRadHFtBdhoVt9Z95ualM82883n4BfPv1pPN5GPVFfVnd0tYpt9p0fQv7DvetbS/wDif9iyv/c+RNqt+zPY34uWnofGp4fuWXXLxLJ1BGSXEXJNzcm110ZaZbSm5yjlt9bKFXmlhMptZI2saA0Bt99uOf8ARcbVaFKjUhGnFLczat5Skm5PJT0Prdq7WmRxbR8fqa1d+2zaut8pKbWuXzAZxkkaO4dI+8BAUtHCgLSKJAS7JAYdCgKrSVDcHJAc31g0eYpMQHRefB39fzXrNHvOlp9FLjHzX4LIvJUldZkiFYMClVsClVMgVYAw0EkAAkkgADMkncAOJVW1hEZwjs2oXkkZs9vpRpc57fN0Yc5mzB9aVzSDi+qDYcbndyLnUpZ2aT8THJ6Wp8muhxuowOyWp/WqY6hcfF9BllNW+TvRvqxSM+zLKf8AcStqnqNxzfkTk83X+T+Bt9nNM3ljDJB7gF0KWpz/AMkicnnq3VaeP0XMkHVdjvA5e9dSlfQlxWDLJUTQvYbPa5p6xv7DxXQhNSW5kihXcVhkntNV9JYgAT0m5H818+1axdpXaXuvevt4FUlhntYDiC5ZiQVcCA29AS9B0Z3sdcfZdn8boC0ugOaa5MtWy/WEbv8ATaPwXsNKlm1j2Z+pzLhYqM9P5MdLwQxzxTTRxOfK17BI4MDrsANicvVC0dZt6lScZwi2kt+C21nGKabwez0joGjqunLBFISANqOi8gbvONIJHeuNSu69DdCTXZ+GbUqcJ72skGjdQtHs6WyfJmbNle9zRnusLX77rYqatdSWNrHcipWlJPOMl3LV0lGwMc+Cmjb6LLsjAzv0W/ktSNOtXllJyfzLdqFNY3JHC9PTiSaokBuJJ5XtPNrpHEHwsva28HClGL5JfQ47eZtnsdSdFSOpGyNwnEXmxNjk8js4L53+p7GrXvZThh7kseB37CrGFJJntdFxOZCWuBabvyK17ClOlbOM1h7yyrJSnlGlouV7Y2hhIuM8O85leVpVq8G1SbWeo3pRg98izpKeUva5wdYG5xH8CunZWt3KtGpUzhPO9lFWpTUWomnrU7No6h/MmsS/+hLqj+7Ft7niVFFuP2iu9YxxbwXYatV5mzYutorPN6ek2kzWDdELf+zsz7rICWkgQFlHEgH2aANmgIZ6e4QHk9Y9Eh7HAjeN/I8CrrevKhUVSPIJ4OZzxFjnMdk5psV7inVjVgpx4MtISjApWDIFKqYFWALXVfThoKj5S2CGeVjSIdviLIpCf2mFpFyBcDPK91qVqPSx2c4RGC/rvKppiU5VLIB7MEUQHi8OPvVUNNorlnvZGyVkuumlH+lX1Xc8tHg2y2o2NFf4onBhmtukR/8AdqD9p2P/AHXVysqPwonCNiLXKvHpStk+2yP+UBZqwo9WBg2G63SO/aRMPWwub7jf4qxWKXusnBh+lopBY3bfg8XHiLhXQoTiMFdPA05sI7swt6nOXBkho6qMMgdw3OHNq19Ssld27gveW9d/5IayjqGhasOaM73svnUouLw9zRUW8kdwoBXsdspA/hud9k/3fuQF4HIDn+vbbVQPtQsPg5wXqtFlm3a6mc+6XtnnV1zVNihr5oDeGWWE7/NucwHtAyPeq6lGnU9+KfeZRk48Hgu5Naa+Vga+qlsMuhhiJz4lgBK14afbQeVBeO/6kTr1HuyVL5Rckm5O8nMk9a20sLCKcNmvNKCLdfFSjOMcbzpepek3RUsTcLXNw34tdmb7+9fL9W1edO/qxaTSePkehtrdOjF9h6ePTETgQcTDY+kLjxCpjq1CcWnmL7fuZu3mnu3hq9UNjjOI2uBbeSc3LlaXd0rfbdR4zjBfXpynjBvSaWHqtJ63ZfBbVXXoL+3HPeVxtHzZRaanLy0m18927L/lcatcyuKjqSNqMFBYRp0Z6PaSfeva0Y7NOK6kvocyTzJmaupEbHPPAZDmeAVhiUFHCXEudmXEknmSc0Bd00CA3GxIDOzQBs0AGJAV2kKPEDkgOY66aILfPNHo5P628D3LuaPd7MuhlwfDv/JlFnjyvRMzFKrYFKrZAqwBgKuIHCuQLHRWhaqqv8ngllDfSe0WiZ9qQ2a3vKidxTp+88EZPRxeTfSJF3Ngj6nyXP8AACqvWdDln5DaIKjUuojydNRg8tq4H3sV8L+m+CfyJyakmrlS3MCN45se0/Gy2oXdN9hOTRlpJGemxzeu1x4jJbcKkZcGSRtKvQGurESeq1P0nhOycd2bPs8u5eO/UNh0c/SILdLj39fj9Sua5nSaKQOavNGAlXTXCAjoJrebdw9A8xyQE9XSslFnta4cnAH4rOFScHmLaIcU+JR1eqUD/RvGfqnLwNwuhS1e4hxe13lEraD7Clq9Upm+g5rxyN2n8V0qWuU3/ci13byiVo1wZpxav1LjYtDQPaOXda62Z6vbRW5t9yMFazZa0mqG4yPceptmj33XOq65N/244795fG0XNlrHoCCKxwDtIxHxK8zq91f10tiTa5pPBvW1OjB70WULWgWba3UvH1Yzi/bWH2nSi1jcOqySxppmtY27gN+W87zwVck2zJGH144AntyCKDGTQqq0OOZGV7Btyt6hYV5+7F46yqVWK4skp8mjsXsksLBzCrq5TM8Aeg05fWPNSCwo6ayAtIoUBMI0AYEAYEAYEAkkNwgPN6d0aHNNxcEEEdSlNp5QON6a0eaeV0Zvh3sPNv8ATcvY2d0rikpc+D7yxPJXq9kilVsgVYgwFXEEkMga4OLWvAN8Lr4XdRsQbd6ze9YB1nUukPyQ6X0pK408IvR0xAZTxBrsIeyAWYHF3RYAN+e8gjkXEvb6Gkt74vm/H6mB5DWXXisr5C1jnwQl2GOCEkPffIY3DN5PLd1Lo29nTpLL3vrZkl1lro3UVkce0rXHFbE6Nrg1kf238T2WHaolfyb2aYyK7RFGbmmfhI9aCYuI7cyro16q99fNElPWzSxOwy+dafRkHRf2XHFdCiozWY7mSaE1j0hZw57nDtst2D5EkKvQJIJixzXNNi0ghV16Ma9N058GDqeq+lBKxrgd43cjxC+bXVtO3qypT4rz7SprB6sMxBa5BXVlJxHcUBinqL9F2TufB39UBsIAQBYIAQAUBE+Bp4WPMZLGUYyWJLJKbXAQwuG51+p2a0aumW8+Wz3Fsa80KWSH2W9e8qino1GL9ptmTuZPgZFID6Ti7q4eC6FK2pUvcikVSnKXFkzImt3ABXmBo1VQZOgz0fWd7XUOpAbVDR24IC4ggsgNpsaAbAgDAgDAgDAgDAgNOsprgoDm+vGgdowlo6bLuZ1829/5LesLroKuXwe5/clM5eV6pszEKwYMLAChVRBlZg6prvXCTV3ROxPmy6nhlDeEkUD2lrv/AHaT3Arm2kMXc9rjv82YI8x5NKRsukGF2exjkmaPrCzW+BffuW7ezcaO7mZM2/KVpF76r5PciOJrDh4Oe4XxHnkQB381np1NKG3zZKPKQyOY4OaS1zcwR/e5dXZTWGZHpdKHaQYiLXY2QdRsD+K16Hs1MIg8+0rqIkyrEDKzQLzVbSmxlDSeg8jsD+Hju8F5/X7DpqXTQXtR49q/BjJZOu6Jqg5oXiSssZIgQgKuro0BqtnczJ9yPa4jt5oDZY8EXBuOpAZugC6ALoAugC6ALoCOadrd5z4AZk9yA1HufLl6LeXPtQG/R0duCAtoILIDba1APZAZsgCyALIAsgCyAV7boCj0xRBwOSA4rrrogwTGRosyUm/JsnHx3+K9Hpl10kOjlxj9DNM80V0WSKsAKFTFgYK5A36bScrIJaYOxQTFr3Ruza2Vp6MjPZdbIniDY3ys6KLkp81/MEYNvVPS/wAjq4pjfBmyUDM7NwsT3ZHuUXFLpKbigz3WuWrorMFTTvYXlgF7+bmj3tIcNxz7+5adnc9D7E1uCZ5Sn1WmxeewsYN9nBznDkLbu1dP0yGPZ3mWSXT9QGtEY3m2Q9Vg/wCFZaxbe0wiiC6aJMqxMGVkgZU8STo2pWmsbQHHps6Luvke/wDNfPtWsfRa7S92W9fbwKpLB0WklDgFyzEklhugK+opLoCuloyDdtwepAR7WRu8B3uKAYVg4tcO66Az8sZzPg78kAGsZzJ7A5AIa32WuPbYBAKXyu+qOrf4oCWCg4nM8Sd6As6eksgN+KGyA2WtQDoAQAgBACAEAIAQEFRHcIDxGt2hWzRvYRk4b+IPAjsKto1ZUpqa5A4pVwOie6N4s5hLT+f4r1UKkakVOPBlhCpAgKoiyBwroskYK5MFzo6ihkYGuewuOfRds5WE7mjEMMnMjID2gq5yknlfz7fzcQWFDUzUYAiqrRuu4RyiBzCLkXAbK4AXBzac1g4Rq8Y7/wCdgFrdZZ35YmjrjY0e8vd8FsUrWCJwUrn3JJuScySSST1ldCCxuMjIKuQMhZpgZZpgLrIG7omvMErZBu3PHNv9N60NSsld0HD/ACW9d/54BrKOx6v6QD2tzuCAQea+dyi4tp8UUnpozcKAD40BryU6A1ZKNAa76HqQERoOpAAoOpASsoepAbEdIgNqOnQGwyNASAIBkAIAQAgBACAEAIAQGCEBW6SpsQKA5D5QtAkf+QwZsyktxZz7vgepdXTbnZl0T4Ph3mSZ4FdrJkRBa8WQSBXRYGCuTJHCtQHv3qyIGarkSOFYmSMFYmBgVmmDKyTBlZpgypyD3Pk80ncmncek3pR9bOI7vgepeQ1+x2J+kQ4Pj39fiYTXM6vROyC82YG5ZAYLUApYgEMSAXYoA2CAYRIBwxAMGoDKAEAIAQAgBACAEAIAQAgBAJKy4QHntK6ODwQQCCCCDuIO8KU2nuByHSeoNY2aQQMD4cV43FwBwnOxvyvbuXcp6hTcVtPDMsn/2Q=="
107,"50 Projects In 50 Days - HTML, CSS & JavaScript","Brad Traversy,Florin Pop",HTML CSS Javascript,https://www.udemy.com/course/50-projects-50-days/?couponCode=ST6MT42324,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHutON719Nljc55L45UnjCeK-J8DGbu2HmDYQTxVkHwQ&s
108,"Complete Guide in HTML, CSS & JavaScript: 2024 Edition",Jerome Morales,HTML CSS Javascript,https://www.udemy.com/course/complete-guide-in-html-css-javascript/?couponCode=ST6MT42324,https://img-b.udemycdn.com/course/750x422/3688830_1dae_3.jpg
201,Learn React,Scrimba,React,https://www.coursera.org/learn/learn-react,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/c47bad6b690b.png
202,React Basics,Meta,React,https://www.coursera.org/learn/react-basics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeWph14TGeIwiizh8mructaC6FVJgMx-lAcVtiT9iU1w&s
